-0.004,0.018,0.782
0.001,-0.068,0.781
0.017,-0.107,0.814
0.037,-0.074,0.872
0.027,0.005,0.989
0.024,0.006,1.036
0.051,0.035,1.077
0.061,0.089,1.105
0.047,0.090,1.125
0.027,0.055,1.164
0.021,0.119,1.218
0.074,0.176,1.319
0.063,0.139,1.300
0.008,0.108,1.309
-0.073,0.033,1.336
-0.055,0.005,1.370
0.022,0.015,1.316
0.075,0.019,1.281
0.083,0.036,1.261
0.057,0.029,1.251
0.056,0.036,1.230
0.063,0.055,1.182
0.087,0.052,1.164
0.081,0.051,1.119
0.063,0.069,1.126
0.047,0.084,1.144
0.045,0.077,1.126
0.043,0.048,1.176
0.042,0.025,1.185
0.070,-0.007,1.181
0.070,0.001,1.212
0.071,0.036,1.229
0.076,0.056,1.238
0.088,0.052,1.226
0.087,0.046,1.195
0.072,0.055,1.166
0.091,0.032,1.119
0.090,0.061,1.114
0.105,0.044,1.092
0.091,0.008,1.020
0.099,-0.027,0.980
0.040,-0.077,1.015
0.068,-0.088,0.973
0.056,0.017,0.985
0.038,-0.024,0.944
0.008,-0.030,0.910
-0.006,-0.001,0.884
0.001,0.009,0.866
0.022,0.039,0.869
0.011,0.022,0.786
0.012,-0.083,0.700
0.014,-0.168,0.667
0.021,-0.200,0.619
0.006,-0.102,0.666
-0.012,-0.050,0.693
-0.019,-0.066,0.660
-0.033,-0.086,0.603
-0.025,-0.130,0.565
-0.027,-0.151,0.563
-0.024,-0.151,0.548
-0.021,-0.181,0.563
-0.038,-0.187,0.617
-0.026,-0.141,0.627
0.011,-0.101,0.621
-0.009,-0.086,0.662
0.002,-0.105,0.732
0.012,-0.117,0.761
0.043,-0.141,0.755
-0.017,-0.074,0.833
-0.061,-0.147,0.917
-0.062,-0.092,0.993
-0.063,0.004,1.076
-0.070,0.038,1.127
-0.102,0.039,1.211
-0.089,0.039,1.240
-0.044,0.014,1.193
-0.082,0.009,1.281
-0.073,0.116,1.443
-0.061,0.092,1.391
-0.061,0.051,1.361
-0.077,-0.052,1.262
-0.053,-0.098,1.314
0.016,-0.048,1.331
0.000,-0.031,1.359
0.007,-0.035,1.336
0.031,-0.013,1.351
0.062,-0.010,1.303
0.075,0.017,1.303
0.088,0.049,1.275
0.081,0.017,1.260
0.052,0.020,1.245
0.060,0.039,1.252
0.070,0.051,1.220
0.073,0.025,1.197
0.081,-0.011,1.118
0.086,0.004,1.084
0.092,-0.017,1.045
0.090,0.008,1.072
0.110,-0.001,1.025
0.114,-0.032,1.020
0.117,-0.043,0.983
0.072,-0.004,1.006
0.108,0.027,1.016
0.106,-0.053,0.971
0.055,0.053,0.994
0.059,0.028,0.973
0.066,0.030,0.910
0.063,0.027,0.896
0.035,0.004,0.858
0.031,-0.013,0.813
0.010,-0.054,0.774
-0.002,-0.092,0.683
0.015,-0.156,0.669
0.020,-0.175,0.604
0.014,-0.159,0.614
-0.019,-0.117,0.578
-0.033,-0.127,0.552
-0.036,-0.177,0.476
-0.044,-0.220,0.460
-0.046,-0.235,0.457
-0.028,-0.196,0.530
-0.022,-0.155,0.576
0.001,-0.148,0.651
0.021,-0.185,0.686
-0.012,-0.263,0.680
0.033,-0.230,0.636
0.005,-0.162,0.848
-0.034,-0.068,0.883
-0.082,-0.063,0.958
-0.120,-0.073,1.036
-0.117,0.040,1.136
-0.090,0.075,1.185
-0.076,0.067,1.217
-0.084,0.037,1.265
-0.102,0.049,1.269
-0.074,0.030,1.264
-0.049,0.019,1.257
-0.023,0.006,1.275
-0.021,-0.033,1.236
-0.057,-0.060,1.192
-0.075,-0.032,1.199
-0.041,-0.004,1.258
0.017,0.087,1.293
0.014,0.047,1.204
0.039,0.001,1.161
0.088,0.005,1.175
0.129,0.016,1.211
0.126,0.022,1.232
0.135,0.028,1.207
0.133,0.061,1.231
0.125,0.085,1.245
0.136,0.073,1.235
0.134,0.087,1.233
0.139,0.084,1.238
0.128,0.055,1.177
0.110,0.052,1.162
0.090,0.024,1.119
0.057,0.051,1.065
0.023,-0.063,1.198
0.066,0.024,1.208
0.047,-0.044,1.178
0.110,0.231,0.834
0.119,-0.127,1.258
0.047,0.191,1.161
0.109,0.151,1.048
0.128,0.087,1.057
0.088,0.112,1.097
0.059,0.202,1.096
0.083,0.170,1.053
0.083,0.140,0.979
0.065,0.130,0.958
0.054,0.082,0.917
0.039,0.025,0.876
0.041,-0.050,0.816
0.019,-0.062,0.793
0.000,-0.117,0.757
-0.025,-0.119,0.702
-0.001,-0.183,0.653
-0.005,-0.194,0.664
-0.002,-0.231,0.600
-0.028,-0.226,0.613
-0.041,-0.175,0.597
-0.057,-0.150,0.588
-0.053,-0.169,0.531
-0.041,-0.209,0.484
-0.028,-0.233,0.476
-0.001,-0.267,0.459
0.033,-0.235,0.490
0.032,-0.218,0.577
0.006,-0.177,0.620
0.004,-0.155,0.605
0.013,-0.163,0.648
-0.006,-0.169,0.631
0.010,-0.186,0.710
